,review
0,Fantastic gtreatest movie. Win the best motion picture award really.
1,"What a great movie, bravo.. bong direct this movie up to the mark. fantastic"
2,That's it. That's all I'm writing about this film. Now go watch it if you haven't already.
3,"Good movie to watch when u are boring
Really recommended!!"
4,This movie had me terrified the entire time which is incredibly rare. Easy 10. I've never experienced something like this.
5,"When you write a review this late into a movie's life, post-genre busting Oscar, nobody will read this stuff, so here goes nothing.
I've always liked the con men / grifter genre because it's all about the glorious world of deceit, where nothing is as it seems. Typically the drama comes when the best laid plan falls apart, which it does so gloriously and tragically here.
I'm looking forward to the black and white version, as there's a glorious luminosity to that format, and this picture really doesn't require color."
6,"Man, where do I even begin? Let's start with the technical aspects. It is shot very well, the production design is so good that I couldn't tell what was real and what wasn't, the acting is phenomenal (especially from Joon Ho favorite Kang-Ho Song), and the score is the best of the year so far.And now for the story. Just wow. The script tackles so many complicated themes about society and class flawlessly, and it developes all of the characters perfectly. There are about 8 main characters, and they all feel like actual people and not objects for the story. The situation that the characters get in is very interesting and thrilling. This is the best film of the year, and one of the best ever. Just watch it."
7,"It is pulling you into reality and at the same time to the illusion.
Showing both side and connecting them well.
Spectacular ending.
Congrats!"
8,"Saw Parasite yesterday. Something that we missed out during MAMI. What a brilliant gripping tale this is! It is a class-conscious thriller that you wouldn't want to miss.To start with, it makes you laugh with its comic rendering. When you see the entire movie it defies all your expectations along the line. Bong Joon-ho crafts an intricate look at modern-day social hierarchies. He keeps you flipped on one mood then drastically changes it to the other while delivering some brilliant thematic elements. When you spend 132 minutes seeing this movie you encounter and experience: clever, humorous, dramatic and every other kind of emotion.It is also a hilarious and irreverent take on South Korea's class warfare. I cannot overstate how refreshing Parasite is both as a genius piece of arthouse cinema, but also a very contemporary comedy of errors. Parasite is so sublime because it can be watched for pure entertainment value of a sly poor family manipulating gullible elites into paying them for various services, but Parasite also wades in deep waters of sympathy for its poor desperate souls.It is an outstanding South Korean dark comedy that will stand up to the ages. Its final moments are so unsettling, and so unforgettable and impossible to estimate. It is a test that you undergo yourself and you're most likely to fail! 😊"
9,"Bong Jon Hoo has created a masterpiece; Parasite hits every genre throughout the film from thriller, horror, comedy & mystery just to name a few. You never know what's going to come next & it had me at the edge of my seat from start to finish. I recommend watching the B&W version as it gives a different experience. One of my favorite films of all time, can't recommend this film enough; no wonder it's claimed every prize in the industry, throughly deserved!"
10,"I can't get over how it ended, everything comes at a cost every decision has its consequence. It's dark realistic thrilling and sometimes funny. This fits to many different genres."
11,"I just want to leave my opinion on this masterpiece, I love films from South Korea, and what makes me love them even more are these films that leave me thinking for three days in a row, the fact that the film always has several meanings and is brilliant I love the fact that every little detail always has a meaning, they are films like these with symbolism, mystery and messages to make the audience think that they are the best films for me!"
