,review
0,"""Minari"" is one heartfelt touching family drama of love and wisdom as a viewer sees how being together grows a family strong no matter what kind of cards are dealt their way. Set in the early 80's a Korean American family has moved from the hustle and hassle world of California to the rural south to an Arkansas farm for a chance at the American dream, as new roots of goals and life have been planted. Jacob(the good Steven Yeun) and Monica(Yeri Han) want to break from their 9 to 5 life of working at a chicken factory so Jacob invest in the earth and land and equipment to start planting seeds to grow harvest so he can become a fine farmer. Their two small kids David(Alan S. Kim who's so cute) and Anne(Noel Cho) have to adjust to a new school and life that involves church too. And things do twist and spin even more when their stubborn and go against the grain rule breaking grandmother Soonja(Yuh-Jung-Youn) arrives. Grandma is loving and caring though and she brings a little seed of magic and hope to the Arkansas farm! Challenges and ups and downs are common still thru it all this picture shows that at home if a family has love, togetherness, with hard work and determination they will last no matter what happens. Overall wonderful film that one will love watching as they see a strong masterful family."
1,"Last year Parasite won Best picture and it was fair, it was great, but my heart´s favorite was Jojo Rabbit.This year is the same, tho i don´t know which film will get he oscar home i know it won´t be Minari.It´s a warm movie with little problems that end up being vey important, you create a little connection with each one of the characters.I totally recommend it to everyone."
2,"Minari is the ultimate movie about the Asian immigrant experience in (rural) America. It is authentic, heartwarming and beautifully written and directed by Lee Isaac Chung. Its bilingual cast is also responsible for some of the most memorable performances in recent times - culminating in well-deserved Oscar and BAFTA wins for Yuh Jong Youn. There is a lot to digest in this movie - positive racial themes assimilation, family values, survival. Ageing issues, perseverance and intercultural friendship. For my money, Minari should have won all the major awards at the Oscars this year, but it would be too much to expect the Academy to recognise two Korea-related movies in consecutive years - Parasite won last year. Notwithstanding, Minari has a special place in my heart as this was the movie that lifted me during the lowest point of the pandemic lockdown and brought a smile (and tears) to my face."
3,"Minari is a phenomenal drama about the struggles of starting a new life that's emotional, heartwarming and breathtakingly beautiful whilst also being earnest and funny. Steven Yeun, Yeri Han, Alan Kim, Noel Katie Cho and Yuh-Jung Youn are all perfect. Lee Isaac Chung's direction is incredible, it's extremely well filmed and consistently visually stunning. It's extremely well paced and the music by Emile Mosseri is amazing."
4,"Endearing characters, gorgeous cinematography, and a strong script make Minari a nearly perfect film!"
5,"These are the types of pieces of media that should be getting more attention.Everything in this production felt fresh and humble.Hard work really does pay off, absolutely perfect. Fully worthy of all the praise.Best Film of the year."
6,"This film joins a long line of media that takes on immigrants assimilating into American culture. The Jungle, House of Sand and Fog, American Tale, Once Upon a Time in America, Brooklyn etc. Etc. All come to mind. This one stands apart both because it is centered on a Korean family and because it takes place in a rural area. (Jacob is fairly ""American"" in his distaste for cities). The film is a low-key intimate story that functions as a coming of age tale and a portrait of a family trying to make it. It is wonderfully observed-each member of the Yi family feels like a person you could meet. The grandmother-Soon-ja-especially is a striking character both because of the writing and the wonderful Youn Yuh-jung.The film has a quiet power to much of the proceedings-the emotional heft sneaks up on you; some it doesn't hit until long after the movie is over. The film is open ended in most of its plot threads-i.e. Does the family make it? Stay together?-but it has a completeness to it that slice of life films do. Chung-as writer and director-has a clear vision that makes it to the screen. This has the complexities and failings of the American experience. The film might be in Korean but it is rooted in a big part of what makes this country what it is-immigration."
7,"And that really bites! I love this guy, and though I don't know exactly what he was trying to tell me at the end it felt really profound and plucked at my heartstrings , I love his idea of family and how he juxtaposes functional with dysfunctional and blends the two so that we get a more interesting outlook on the family nucleus so much so that soon our interests are piqued at a fever pitch and intrigue is born! I loved it! I love the lil' boy , Asian Boy he was so nice!"
8,"I love when I can get entrenched in a movie. But most movies don't have all the elements that it takes for that to happen: a unique storyline, a main cast where every character is essential and every actor carries a big load. Check and check! Also appealing was there was no bells and whistles to distract and detract from the story. Loved this movie! Been a Steven Yeun fan since ""Walking Dead"". He was great. Alan S. Kim deserved an Oscar consideration too!"
9,"America is a melting pot of many cultures from all around the world. There are so many different stories beginning, ending, or taking place in our country within the lives of people from all walks of life and nearly every corner of the world. That being said, I absolutely loved 'Minari.' It's the story of a South Korean family trying to live out their American dream in the random state of Arkansas. It shows how both parents have differing ideas of what that American dream is, as do the children (who I assume were born in the U.S.) When the grandmother joins the picture, the story takes another turn.I love the grandmother character. She's funny, straightforward, and loving. The grandmother is the glue that brings everyone back together, but she accomplishes this without intending to and in a subtle way. She brings with her many of the South Korean customs the kids are not aware of and introduces them to a Korean plant known as Minari, which serves as the secret ingredient in many Korean dishes. Minari ends up serving as the most important symbol in the story, in that just like this plant does to Korean meals and remedies, the grandma brings out the best of the family. The film ends with the father and son visiting the Minari patch the grandmother grew by a stream in the woods. I believe the ending is left up to interpretation and I like to think that the father decided to sell the Minari to retailers in the city.I have understood that the story is based on the director's personal experience and it shows. Much of the dialogue sounds very realistic, you can tell he was digging through his memories when writing this. The acting is fantastic, everyone does a great job with their roles. My personal favorite performances were from the grandma and the little boy. I think these actors complimented each other so well, you can see the gradual connection that takes place between them. Every scene between them is fantastic.I highly recommend this film. I hope to see more films like this in the near future, telling the story of those who tend to get overseen in our country. Congrats to everyone who worked on this film. Hope it gets the recognition it deserves."
