,review
0,So many twists and turns this show keeps you guessing every episode! It's an amazing show all the way through. Definitely deserves it's spot amongst the Netflix top 10.
1,Really cared about these characters. It really made me attached to this movie. Great storytelling!
2,Hope find season two and dad Sang Woo actor who sweetheart as mean characters . Go hun will fight evil guy offers him in danger play in games if Squid Game. Make girl's brother and Gi hun's daughter had met each other. Upset Sangwoo killed off.
3,"This series is beautifully produced and directed. So many stories with in itself and has drama, action, suspence. I couldn't stop watching it. I hope they do a second season, or add more episodes.Beware parents not for children, lots of death, gore, blood, simulated dead bodies, violence."
4,"Everyone talking about it, So I just wanted to try one episode. But I finished just one night. I could not sleep. I think this is best Netflix show ever."
5,I like it so so much ... It was the first to end in first day ... But i think there will be season 2 bcs its not completed ... I hope its near bcs i can't wait.
6,"This would get an 11 if I had that option. Just when you think there is little inventory on new concepts, this series pops up and is beyond unique and thought provoking. I can't wait for the second season. An absolute masterpiece. The reviewers who think it's all about killing people miss the point entirely."
7,I really enjoy every second of this TV show it's so perfect and amazing it deserves 10 out of 10.
8,"The Netflix subscription is $9 but the therapy you'll need after this show is priceless.To sum it up as briefly as possible, it's like a sundae made of scoops of Shawshank Redemption, The Purge, and the first Saw movie, with a little bit of Star Wars sprinkled on top."
9,"Absolutely brilliant! Loved it from start to finish, excellent acting (apart from the American actors at the end! Dreadful) Great story, had me hooked.. binged watched the lot!Looks like they'll be a second series which I can't wait to see! Superb."
10,"The peer pressure made me watch this. I wish this show came out about 10 years ago as some small part was predictable but was I surprised? Oh boy,I definitely was. Don't need a second season, but praise the creator and let him make more shows and movies. This was brilliant!"
11,"Had me gripped from the beginning to the end.Some plot lines were signposted v obviously but it was still edge of your seat viewing. I love an open end that leaves you imagining your own conclusions. Well acted, good character development, heart breaking and whilst not entirely original it had enough going for it to make it stand out."
12,"This series is exceptional. It poses a narrative which delves into the human psyche. Themes of duality, choice, power and control are played out within the game. The series is analysing socio-political, gender and class binaries within stunning scenography, beautiful symbology and a compelling story line.I would recommend this to anyone who is a fan of Battle Royale, or Asian Tartan Extreme films."
13,"The first episode is so packed and dense with brilliance that even though it's only a hour long it felt like a full complete movie in and of itself, yet I was unable to look away the entire time it was that good."
14,"One of the best series ive ever watched,i hope it gets renewed for second season."
15,The series is so good and so emotional it is itself the first series i watched in korean. Highly recommended!
16,"Loved every minute, couldn't stop watching!They did a great job in making it feel more ""realistic"" and not like SAW or some other classic horror/thriller movie."
