,review
0,"With only a few episodes left I feel I can safely assess this series as a 10. The writing is sharp, the actors extremely credible and the corny touches that might feel forced in any other show are pulled off with aplomb here. We wait for the eponymous character's hair to fly back, a scene of a whale or dolphin appears as if we're seeing into her head and BAM she has pieced together the most salient facts of a case that no one else could have and, inevitably, wins the case. What could hav been cheesy is so moving because we developed such an overwhelming empathy for her character. Is it a completely honest portrayal of someone ""on the spectrum?"" As a licensed mental health professional there are many moments where I thought ""No..she wouldn't be smiling or expressing emotion the way she does"" but overall they stay true to what someone with autism might be like. It's called a spectrum after all. The point is despite minor flaws this is the most positive portrayal of someone on the spectrum I've ever seen and I hope it helps people understand the challenges these humans face everyday - even when you have an astounding IQ of 164. I say human and not people because too often society treats these people as if they were sub-human. Sadly, these prejudices cross country and cultural divides.ENOUGH PRATTLE. The most important thing is it's extremely ENTERTAINING.. it proves you don't need sex & violence to reach a mass audience EVEN WHEN YOU MAKE AMERICANS READ SUBTITLES!"
1,"The actress playing Woo Young-Woo is remarkable. She shines on screen. The others are very good, but it wouldn't be as fun to watch if it wasn't for her."
2,"I included a review of this unconventional, highly creative, profoundly wise, soul-igniting, deeply heartfelt, transformative, Consciousness expanding, and overall amazing K-drama within a post I created today.And I fully trust that it's just one of many signs from the Universe that humanity is waking up as Souls, and tuning into the already existing and powerful merge of the Divine Masculine & Divine Feminine energies within ALL of us & all around us (interconnected Life within this world & beyond).The title of this post is, ""Hopeless to Clarity: Orcas, Lemuria, Jumping Spider & Major Opportunities,"" and the following is an excerpt (note: I usually don't write reviews until I've completed experiencing something, but this is how I intuitively FEEL now):As part of this particular series (or phase) of Divine Synchronicity, I saw orcas show up 3 times within the past few days (in this physical reality), along with a magenta, jumping spider (in dream state), and a swarm of crickets plus 1 cricket (in this physical reality) prior to that, all interconnected puzzle pieces revealing the BIGGER picture, like the rest of Life within this world and beyond.Recently, I've been drawn to watching a certain Korean drama series (that I watch with discernment) about an intriguing topic due to personal experiences from the past---3 autistic people showing up in my life, a repeating pattern that's highly beneficial to notice, recognize, acknowledge, embrace, and integrate within WHOLE self (physical self)/Self (Divine Self within/aka Higher Self/Source/Universe/Spirit & Soul/Goddess & God/etc.).In a nutshell, this show is about an amazing, autistic adult attorney who is different from the typical lawyer, since she's very Heart-centered, has loving intentions, is AUTHENTIC/WHOLE/PURE, is transparently honest, and has a child-like, innocent, and curious free spirit.And despite her having a ""disability"" according to this world's society, often being extremely logical and analytical, unable to recognize social cues (though she's willing to learn and grow), and other ways of not being ""normal,"" she is a Creative Genius who strives to Be and do her best in Life to contribute to herself and interconnected humanity.And she has a deep passion, loyalty, and unconditional love for whales, and other cetaceans (to include orcas)---who I trust to be symbolic of her inner guidance/Heart/intuition/inner-knowing/inner-wisdom/insights/true feelings/gut feeling/other love-based gifts (to include psychic abilities), and animal spirit guides.Any even though she's a fictional character, I found myself FEELING super uplifted and happy to experience her Full Presence---as well as other Heart-centered characters--especially during a brief timeframe where I completely lost hope for humans (to include my physical self).And I have no doubt that this fictional character MIRRORED to me Shadow aspects of my Spirit & Soul within that I deeply love, but didn't give enough credit to in the past, due to believing that these aspects (whether Golden positive or negative) were mostly about so-called others from outer world (though they were MIRRORING inner world aspects all this time, to varying degrees, & continue to do so).I also have NO DOUBT that the orca spirit guide, which is also known to assist us in returning back home---not physical home, but I trust Earth/Galactic/Universal Soul Family Home---showed up in my life 3 times recently (3 being a major, sacred number) in Divine perfect timing & order, when I started to believe that even my spiritual family no longer cared.But when I start to have hope and care (as unconditional love for self/others)---even with the tiny faith of a mustard seed, like the name of the preschool I briefly worked at from fall of 2012 to spring of 2013---then outer world automatically MIRRORS to me this True Love.And as I'm typing this, I'm deeply moved to tears.On August 3rd and 6th of 2018, I had two, vivid dreams of baby orcas that I realized---while doing some dream work---were connected to ancient Lemuria.[...]"
3,"This was almost perfect! Twenty Five Twenty One was right below this as the best two KDRAMAs released in 2022 and even though i would almost watch anything with Kim Tae-Ri, Park Eun-Bin continues to surprise me with outstanding performances. These two are real actresses, not just the dolled up Korean women placed ahead of them because they look like models. What a performance and i think they can get away with one more season but please stop after second season. I enjoyed Yoon-Kyeong Ha (Su-Yeon), especially how she supported Attorney Woo throughout. All supporting cast was on the mark, even the mean attorney who tried to turn nice at the end, he played his part very well. When Su-Yeon cried or had a sad or happy part you felt it so either she is super great at acting or it's her real heart. I would guess somewhere in the middle but the guy that gets her in real life will be smiling every day. I intend to watch her in the future.American television or streaming services, this is one of the many quality Korean productions. Netflix is smart in outsourcing these programs because Americans would screw them up. Why is our television so screwed up and can't produce anything close to this quality? Someone please tell me!!"
4,"It is very rare for me to review a series before finishing it, but this was so darn delightful that I could not stop myself sharing the good news. After 3 episodes I wrote that if you are not watching this you are missing out. Also that Eun-bin Park is simply wonderful as the autistic attorney at the centre of this drama, coping so movingly with the challenges she faces.Having now watched the whole series my opinion has not changed. This is a joy to watch. All the usual elements of good K drama are here: fine acting, well drawn characters, believable relationships, deft plotting. I could go on: K dramas do so many things well.But the absolute clincher is the performance of Eun-bin Park. She makes us believe in her character's difficulties. But she also makes us believe in her ability to find a path through that does not contradict her autism. You are on her side the whole series through. She managed to convey a character that struggled with emotions but also gave us those emotions. Remarkable. Utterly believable.I am no expert on autism. I have read reviews here from those with experience of the condition both decrying and lauding the accuracy of the portrayal. Perhaps another reviewer got it right when he/she said that the condition is a spectrum, so those with experience can find that it varies considerably."
5,"I've been a fan of attorney movies and series for a short time, this is one my favorite one alongside Better Call Saul for now. It does a great job explaining to us westerners some of the korean laws and juridical environment.Some autistic people did find themselves identified with Woo and some others didn't. I personally did and I think the representation here is fantastic because it's not just Woo but some other characters that we see throughout the series that have this mental condition and they make it clear that autism is a spectrum.One of my favorite bits of the series was her romance with Jun-ho. It's so well constructed that I have set up my expectations to find someone like him!"
6,"Very entertaining , acting is superb esp with attorney woo she really acts like an autistic person the series is one of the best tv series ever made ..very very nice with touching family values , if you are a career mom, or mother with autistic daughter or son this is also a great series for them..you will always root for attorney wooo.. wehoever made this series is godsend bec he/she was able to establish that you will root for her...tons of different cases and different topics , very educational as well esp if you want to take up law esp you have an idea how democracy works in korea.. no gun violence unlike in the states lol."
7,"Not sure what's better the Autism theme or the acting by the main lead, she is just so cute and funny in her delivering of this character, we will see how this plays out but so far its fantastic.With 8 episodes in have to say this is the best most enjoyable KD ive seen to date. This makes good KD look average at best.Only two hours left and a lot to sew up this should have a great finish, come on writers dont blow it now.Good new 2nd season announced,If there was ever a KD series that warranted 20 episodes it's this one but we only get 16."
8,"Studio Ghibli in real life! Whomever may know what that means... And if you don't, it means it's a must watch. A heartwarming day-to-day journey about a wonderful Attorney. Which says a lot, because I Loathe attorneys. Simply a beautiful person trying to find her way in society, her loves... And her triumphs. That's all I have to say."
9,"Without question, this is one of the best series Netflix has even shown! Wonderful writing and acting- just superb. I thought listening to it in Korean and having to read the subtitles would annoy me, but I was so absorbed that I quickly adjusted.The story of a brilliant but autistic lawyer doesn't sound very interesting, but the story lines, the interaction among the characters, and sweet Woo Young Woo herself is so heart-warming and touching.As a side note, whoever did the outfits for the characters nailed it - beautiful, professional clothes throughout.Please, please give us more seasons of this outstanding series!!"
